Company Name,Industry,Symbol,Series,ISIN Code
Adani Ports and Special Economic Zone Ltd.,SHIPPING,ADANIPORTS,EQ,INE742F01042
Axis Bank Ltd.,BANKS,AXISBANK,EQ,INE238A01034
Bajaj Finance Ltd.,FINANCE,BAJFINANCE,EQ,INE296A01024
Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,BHARTIARTL,EQ,INE397D01024
Hindalco Industries Ltd.,ALUMINIUM,HINDALCO,EQ,INE038A01020
Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,IBULHSGFIN,EQ,INE148I01020
Indian Oil Corporation Ltd.,REFINERIES,IOC,EQ,INE242A01010
IndusInd Bank Ltd.,BANKS,INDUSINDBK,EQ,INE095A01012
Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,MARUTI,EQ,INE585B01010
Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,ONGC,EQ,INE213A01029
State Bank of India,BANKS,SBIN,EQ,INE062A01020
Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,SUNPHARMA,EQ,INE044A01036
Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,TATAMOTORS,EQ,INE155A01022
Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,TATASTEEL,EQ,INE081A01012
Vedanta Ltd.,ALUMINIUM,VEDL,EQ,INE205A01025
