Company Name,Industry,Symbol,Series,ISIN Code
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Infosys Ltd.,IT,INFY,EQ,INE009A01021
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011
